voltage_V,current_A
0.0,0.0
0.05,1.1000581825978977e-05
0.1,2.2078346286013815e-05
0.15000000000000002,3.324393088711774e-05
0.2,4.450811860852325e-05
0.25,5.588184868520002e-05
0.30000000000000004,6.737622760054445e-05
0.35000000000000003,7.900254029960421e-05
0.4,9.077226163447502e-05
0.45,0.0001026970680537896
0.5,0.0001147888495485147
0.55,0.00012705972186658499
0.6000000000000001,0.00013952203900922095
0.65,0.00015218840602211994
0.7000000000000001,0.00016507169209505656
0.75,0.00017818504398379586
0.8,0.00019154189976860423
0.8500000000000001,0.0002051560029640369
0.9,0.0002190414169950941
0.9500000000000001,0.0002332125400552672
1.0,0.0002476841203624379
1.05,0.00026247127182906107
1.1,0.0002775894901635365
1.1500000000000001,0.0002930546694201796
1.2000000000000002,0.0003088831190157131
1.25,0.0003250915812307447
1.3,0.00034169724921524904
1.35,0.0003587177855176534
1.4000000000000001,0.0003761713411577257
1.4500000000000002,0.00039407657526408614
1.5,0.00041245267529780785
1.55,0.00043131937788424337
1.6,0.00045069699027590164
1.6500000000000001,0.0004706064124699266
1.7000000000000002,0.0004910691600044647
1.75,0.0005121073874589863
1.8,0.0005337439126844185
1.85,0.0005560022417897821
1.9000000000000001,0.0005789065949128761
1.9500000000000002,0.000602481932803442
2.0,0.0006267539842481624
2.0500000000000003,0.0006517492743677985
2.1,0.0006774951538177495
2.15,0.0007040198289243534
2.2,0.0007313523927902843
2.25,0.0007710662217054027
2.3000000000000003,0.0008248225682672849
2.35,0.0008946003108459178
2.4000000000000004,0.0009827622695089285
2.45,0.0010921325143679627
2.5,0.0012260869387157587
2.5500000000000003,0.0013886597538619674
2.6,0.0015846689651946447
2.6500000000000004,0.001819864304562432
2.7,0.0021011015152017213
2.75,0.0024365473016041265
2.8000000000000003,0.002835919653253311
2.85,0.003310768608103751
2.9000000000000004,0.003874802812718143
2.95,0.004544267427582422
3.0,0.005338378977054663
3.0500000000000003,0.006279822605011835
3.1,0.00739531681462984
3.1500000000000004,0.008716250085137675
3.2,0.010279392711113453
3.25,0.012127685747618938
3.3000000000000003,0.014311107026143412
3.35,0.016887611811282306
3.4000000000000004,0.01992414280495141
3.45,0.023497700920622856
3.5,0.02769646463766356
3.5500000000000003,0.03262094195038451
3.6,0.03838513514694185
3.6500000000000004,0.04511769514001495
3.7,0.052963039116728956
3.75,0.06208240319867435
3.8000000000000003,0.07265480092748768
3.85,0.08487785901697789
3.9000000000000004,0.0989685041835876
3.95,0.11516347913969402
4.0,0.1337196720484024
4.05,0.15491425179387902
4.1000000000000005,0.1790446110663866
4.15,0.20642813009517777
4.2,0.23740178535258807
4.25,0.27232163906736984
4.3,0.3115622562397375
4.3500000000000005,0.3555161053618381
4.4,0.40459300659302194
4.45,0.4592196962130406
4.5,0.5198395784348216
4.55,0.5869127349532675
4.6000000000000005,0.660916258998421
4.65,0.7423449744145203
